Country,GDP-2004,GDP-2008,GDP-2012,GDP-2016
Afghanistan,1113.0,1512.0,2318,2401
Albania,6051.0,8805.0,10526,12078
Algeria,10705.0,12701.0,13264,11543
Andorra,,,51193,55695
Angola,4096.0,6586.0,7624,7449
Antigua and Barbuda,18947.0,26494.0,20393,20389
Argentina,12303.0,17567.0,19641,20308
Armenia,4562.0,8111.0,9094,10502
Aruba,35055.0,38896.0,33967,35716
Australia,34390.0,40527.0,42906,48135
Austria,35147.0,42746.0,46478,52660
Azerbaijan,5220.0,13189.0,16063,14448
Bahamas,29379.0,32690.0,33252,35239
Bahrain,44525.0,48244.0,54489,44834
Bangladesh,1750.0,2360.0,3138,4119
Barbados,14020.0,17371.0,15425,15997
Belarus,8463.0,13894.0,18097,17787
Belgium,33545.0,39760.0,42409,48680
Belize,6786.0,7562.0,7213,7054
Benin,2016.0,2350.0,2498,3005
Bhutan,3630.0,5444.0,7600,10068
Bolivia,3864.0,4879.0,5937,7528
Bosnia and Herzegovina,6742.0,9272.0,10292,13069
Botswana,9775.0,13068.0,13092,16639
Brazil,10514.0,13397.0,15120,14326
Brunei,78569.0,81056.0,88312,56638
Bulgaria,9965.0,14638.0,16295,20091
Burkina Faso,1118.0,1403.0,1619,1895
Burundi,521.0,629.0,685,794
Cape Verde,3927.0,5590.0,5720,6224
Cambodia,1490.0,2307.0,2912,3817
Cameroon,2303.0,2632.0,2855,3405
Canada,34390.0,40159.0,42351,46554
Central African Republic,770.0,917.0,1102,851
Chad,1437.0,1615.0,1736,1682
Chile,14001.0,18262.0,21447,22752
China,4381.0,7501.0,11137,13432
Colombia,7990.0,10454.0,12306,14352
Comoros,1994.0,2183.0,2510,2826
Democratic Republic of the Congo,490.0,604.0,670,964
Republic of the Congo,4452.0,5255.0,7437,4484
Costa Rica,9473.0,12570.0,14368,18503
Ivory Coast,3164.0,3424.0,3563,4629
Croatia,16203.0,21165.0,21167,24876
Cyprus,28235.0,34994.0,31906,35852
Czech Republic,21045.0,28482.0,29270,36137
Denmark,37792.0,44261.0,44893,52160
Djibouti,2713.0,3427.0,3958,4720
Dominica,7380.0,9885.0,10158,11962
Dominican Republic,7608.0,10704.0,12208,16626
Ecuador,7143.0,8892.0,10280,11009
Egypt,7484.0,9831.0,11620,11616
El Salvador,4979.0,6069.0,6541,8039
Equatorial Guinea,26216.0,38109.0,37303,20353
Eritrea,1279.0,1049.0,1669,1701
Estonia,17965.0,24997.0,25996,31310
Eswatini,5903.0,7513.0,8450,8932
Ethiopia,571.0,904.0,1315,2134
Fiji,7756.0,8472.0,9660,12563
Finland,33076.0,41130.0,40969,44995
France,32255.0,37416.0,39037,44422
Gabon,14618.0,15247.0,15487,14490
Gambia,2143.0,2247.0,2200,2069
Georgia,4539.0,7147.0,9799,12855
Germany,32645.0,39835.0,43359,50575
Ghana,2923.0,3779.0,5152,5021
Greece,25345.0,30519.0,24819,27449
Grenada,9015.0,11565.0,11164,15026
Guatemala,5307.0,6455.0,7018,7847
Guinea,1320.0,1564.0,1615,1928
Guinea-Bissau,1148.0,1374.0,1513,1976
Guyana,6166.0,7659.0,10444,11268
Haiti,2262.0,2659.0,2719,3018
Honduras,3008.0,3820.0,4033,5146
Hong Kong,34456.0,46777.0,52082,56907
Hungary,18544.0,22834.0,23179,27863
Iceland,33990.0,43576.0,42154,53943
India,2474.0,3529.0,4861,5840
Indonesia,5859.0,7850.0,9834,10619
Iran,13190.0,16309.0,15846,13855
Iraq,9604.0,11473.0,14843,9593
Ireland,39948.0,45061.0,46308,71251
Israel,22143.0,27761.0,31860,37864
Italy,32577.0,36514.0,36143,40231
Jamaica,7488.0,8581.0,8586,9818
Japan,30836.0,35512.0,37629,40641
Jordan,7475.0,9673.0,9301,9544
Kazakhstan,12381.0,17754.0,21878,23654
Kenya,2191.0,2618.0,3107,4353
Kiribati,1479.0,1587.0,1666,2007
South Korea,21872.0,28550.0,33557,39567
Kosovo,5890.0,7373.0,8438,10028
Kuwait,60785.0,69575.0,72736,40844
Kyrgyzstan,2376.0,3048.0,3654,4728
Laos,2428.0,3428.0,4842,6844
Latvia,13507.0,20591.0,21298,26580
Lebanon,9861.0,12831.0,14820,15535
Lesotho,1664.0,2139.0,2454,3101
Liberia,764.0,1016.0,1241,1481
Libya,29966.0,32422.0,23666,7997
Lithuania,14644.0,22704.0,24704,30922
Luxembourg,75895.0,92195.0,92686,111757
Macau,55616.0,75623.0,129876,109214
Madagascar,1337.0,1650.0,1531,1608
Malawi,934.0,1195.0,1348,1347
Malaysia,15279.0,19711.0,22963,24780
Maldives,11022.0,14819.0,16436,23410
Mali,1484.0,1753.0,1817,2255
Malta,21569.0,27133.0,30424,40234
Marshall Islands,2528.0,2675.0,2968,3275
Mauritania,3449.0,4579.0,4755,5159
Mauritius,11134.0,14367.0,16964,20701
Mexico,13878.0,16134.0,17213,19422
Federated States of Micronesia,2443.0,2707.0,3021,3151
Moldova,4413.0,6200.0,7329,10527
Mongolia,5083.0,7227.0,10074,10524
Montenegro,9776.0,14012.0,13864,18198
Morocco,4663.0,6008.0,6857,7356
Mozambique,653.0,878.0,1036,1364
Myanmar,1659.0,2804.0,3697,4141
Namibia,6616.0,8099.0,9512,10578
Nauru,3504.0,4207.0,5981,8927
Nepal,1582.0,1970.0,2505,2990
Netherlands,37263.0,46004.0,47342,52441
New Zealand,26745.0,31304.0,32734,39266
Nicaragua,3204.0,3978.0,4363,5672
Niger,839.0,1016.0,1156,1148
Nigeria,3109.0,4094.0,5000,5235
North Macedonia,7852.0,10720.0,11909,15128
Norway,53167.0,61820.0,65101,58736
Oman,35132.0,44030.0,43038,29353
Pakistan,3103.0,4009.0,4207,4639
Palau,9982.0,11325.0,12632,15007
Panama,9647.0,14299.0,18596,27829
Papua New Guinea,2234.0,2604.0,2862,3686
Paraguay,7288.0,9120.0,9957,11907
Peru,6084.0,8735.0,10553,11946
Philippines,4174.0,5298.0,6360,7789
Poland,14358.0,19620.0,23745,28321
Portugal,22832.0,26573.0,26438,31604
Puerto Rico,28990.0,30775.0,32583,34300
Qatar,119823.0,118534.0,169698,84269
Romania,11808.0,18164.0,18834,24197
Russia,14728.0,21700.0,24279,24104
Rwanda,853.0,1228.0,1496,1910
Samoa,3723.0,4576.0,4787,5524
San Marino,62430.0,75013.0,54797,58103
São Tomé and Príncipe,2128.0,2793.0,3042,3952
Saudi Arabia,45739.0,52302.0,57284,46423
Senegal,2270.0,2590.0,2739,3076
Serbia,8853.0,13026.0,13939,15856
Seychelles,13492.0,18351.0,21565,25904
Sierra Leone,876.0,1072.0,1405,1678
Singapore,54317.0,67641.0,82065,89417
Slovakia,16258.0,24471.0,26983,29681
Slovenia,22385.0,30070.0,29066,33947
Solomon Islands,1451.0,1799.0,2099,2278
Somalia,,,848,911
South Africa,10058.0,12854.0,13191,13738
South Sudan,,,1341,1028
Spain,27856.0,32590.0,31725,37310
Sri Lanka,5220.0,7295.0,10315,12224
Saint Kitts and Nevis,16677.0,22394.0,21039,24378
Saint Lucia,10590.0,12713.0,13668,14634
Saint Vincent and the Grenadines,8204.0,10429.0,10340,12384
Sudan,3524.0,4382.0,3929,5569
Suriname,10444.0,13456.0,16890,14778
Sweden,34868.0,41877.0,45259,50062
Switzerland,45660.0,56389.0,60273,68461
Syria,4816.0,5938.0,6374,6374
Chinese Taipei,26562.0,34952.0,41741,47272
Tajikistan,1568.0,2128.0,2709,3071
Tanzania,1499.0,1918.0,2099,2479
Thailand,9611.0,12256.0,14871,16616
Timor-Leste,1364.0,1694.0,2320,3131
Togo,1420.0,1429.0,1656,1954
Tonga,3914.0,4270.0,4608,5518
Trinidad and Tobago,21910.0,31159.0,30063,26390
Tunisia,7362.0,9554.0,10180,10269
Turkey,13045.0,17042.0,20504,26514
Turkmenistan,7471.0,12693.0,17746,14809
Tuvalu,2683.0,3151.0,3009,3812
Uganda,1597.0,2181.0,2373,2359
Ukraine,6536.0,9143.0,9389,11216
United Arab Emirates,110145.0,70074.0,74088,65651
Great Britain,31688.0,36905.0,38297,44121
United States,41642.0,48471.0,51737,57840
Uruguay,11359.0,15945.0,19489,22093
Uzbekistan,3374.0,4894.0,6107,6856
Vanuatu,1841.0,2321.0,2440,2586
Venezuela,12194.0,17706.0,18553,14213
Vietnam,3427.0,4783.0,6400,8316
Palestine,2730.0,3328.0,4720,5945
Yemen,3205.0,3682.0,3301,2155
Zambia,1999.0,2688.0,3348,3333
Zimbabwe,1885.0,1465.0,2386,2667
Cuba,3399.0,5386.0,6448,7657
North Korea,473.0,551.0,643,642
