Country,Gold-2004,Silver-2004,Bronze-2004,Total-2004,Gold-2008,Silver-2008,Bronze-2008,Total-2008,Gold-2012,Silver-2012,Bronze-2012,Total-2012,Gold-2016,Silver-2016,Bronze-2016,Total-2016
United States,36,39,26,101,36,39,37,112,47,27,30,104,46,37,38,121
China,32,17,14,63,48,22,30,100,38,31,22,91,26,18,26,70
Russia,28,26,36,90,24,13,23,60,19,21,27,67,19,17,20,56
Australia,17,16,17,50,14,15,17,46,8,15,12,35,8,11,10,29
Japan,16,9,12,37,9,8,8,25,7,14,17,38,12,8,21,41
Germany,13,16,20,49,16,11,14,41,11,20,13,44,17,10,15,42
France,11,9,13,33,7,16,20,43,11,11,13,35,10,18,14,42
Italy,10,11,11,32,8,9,10,27,8,9,11,28,8,12,8,28
South Korea,9,12,9,30,13,11,8,32,13,9,8,30,9,3,9,21
Great Britain,9,9,12,30,19,13,19,51,29,18,18,65,27,23,17,67
Cuba,9,7,11,27,3,10,17,30,5,3,7,15,5,2,4,11
Hungary,8,6,3,17,3,5,2,10,8,4,6,18,8,3,4,15
Ukraine,8,5,9,22,7,4,11,22,5,4,10,19,2,5,4,11
Romania,8,5,6,19,4,1,4,9,2,4,1,7,1,1,2,4
Greece,6,6,4,16,0,2,1,3,0,0,2,2,3,1,2,6
Brazil,5,2,3,10,3,4,10,17,3,5,9,17,7,6,6,19
Norway,5,0,1,6,3,5,1,9,2,1,1,4,0,0,4,4
Netherlands,4,9,9,22,7,5,4,16,6,6,8,20,8,7,4,19
Sweden,4,2,1,7,0,4,1,5,1,4,3,8,2,6,3,11
Spain,3,11,6,20,5,11,3,19,4,10,6,20,7,4,6,17
Canada,3,6,3,12,3,9,8,20,2,6,10,18,4,3,15,22
Turkey,3,3,5,11,1,1,3,5,1,1,1,3,1,3,4,8
Poland,3,2,5,10,4,5,2,11,3,2,6,11,2,3,6,11
New Zealand,3,2,0,5,3,2,4,9,6,2,5,13,4,9,5,18
Thailand,3,1,4,8,2,2,2,6,0,2,2,4,2,2,2,6
Belarus,2,5,6,13,3,4,7,14,2,5,3,10,1,4,4,9
Ethiopia,2,3,2,7,4,2,1,7,3,2,3,8,1,2,5,8
Iran,2,2,2,6,1,0,1,2,7,5,1,13,3,1,4,8
Slovakia,2,2,2,6,3,3,0,6,0,1,3,4,2,2,0,4
Chinese Taipei,2,2,1,5,1,1,2,4,1,0,1,2,1,0,2,3
Georgia,2,2,0,4,3,2,2,7,1,2,3,6,2,1,4,7
Bulgaria,2,1,9,12,1,1,3,5,0,2,1,3,0,1,2,3
Denmark,2,1,5,8,2,2,3,7,2,4,3,9,2,6,7,15
Jamaica,2,1,2,5,5,4,2,11,4,5,3,12,6,3,2,11
Uzbekistan,2,1,2,5,0,1,3,4,0,0,3,3,4,2,7,13
Morocco,2,1,0,3,0,1,1,2,0,0,1,1,0,0,1,1
Argentina,2,0,4,6,2,0,4,6,1,1,2,4,3,1,0,4
Kazakhstan,1,4,3,8,2,3,4,9,3,2,6,11,2,5,10,17
Kenya,1,4,2,7,6,4,6,16,2,4,7,13,6,6,1,13
Czech Republic,1,3,5,9,3,3,1,7,4,3,4,11,1,2,7,10
South Africa,1,3,2,6,0,1,0,1,4,1,1,6,2,6,2,10
Croatia,1,2,2,5,0,2,3,5,3,1,2,6,5,3,2,10
Lithuania,1,2,0,3,0,3,2,5,2,0,3,5,0,1,3,4
Egypt,1,1,3,5,0,0,2,2,0,3,1,4,0,0,3,3
Switzerland,1,1,3,5,2,1,4,7,2,2,0,4,3,2,2,7
Indonesia,1,1,2,4,1,1,4,6,0,2,1,3,1,2,0,3
Azerbaijan,1,0,4,5,1,1,4,6,2,2,5,9,1,7,10,18
Belgium,1,0,2,3,2,0,0,2,0,1,2,3,2,2,2,6
Bahamas,1,0,1,2,0,1,1,2,1,0,0,1,1,0,1,2
Dominican Republic,1,0,0,1,1,1,0,2,1,1,0,2,0,0,1,1
North Korea,0,4,1,5,2,2,2,6,4,0,3,7,2,3,2,7
Mexico,0,3,1,4,2,0,2,4,1,3,4,8,0,3,2,5
Portugal,0,2,1,3,1,1,0,2,0,1,0,1,0,0,1,1
Finland,0,2,0,2,1,1,2,4,0,2,1,3,0,0,1,1
Slovenia,0,1,3,4,1,2,2,5,1,1,2,4,1,2,1,4
Estonia,0,1,2,3,1,1,0,2,0,1,1,2,0,0,1,1
India,0,1,0,1,1,0,2,3,0,2,4,6,0,1,1,2
Colombia,0,0,2,2,0,2,1,3,1,3,5,9,3,2,3,8
Venezuela,0,0,2,2,0,0,1,1,1,0,0,1,0,2,1,3
Mongolia,0,0,1,1,2,2,0,4,0,2,3,5,0,1,1,2
Trinidad and Tobago,0,0,1,1,1,1,0,2,1,1,2,4,0,0,1,1
