Country,Gold-2012,Silver-2012,Bronze-2012,Total-2012,Gold-2008,Silver-2008,Bronze-2008,Total-2008,Gold-2016,Silver-2016,Bronze-2016,Total-2016,Gold-2004,Silver-2004,Bronze-2004,Total-2004
United States,47,27,30,104,36,39,37,112,46,37,38,121,36,39,26,101
China,38,31,22,91,48,22,30,100,26,18,26,70,32,17,14,63
Great Britain,29,18,18,65,19,13,19,51,27,23,17,67,9,9,12,30
Russia,19,21,27,67,24,13,23,60,19,17,20,56,28,26,36,90
South Korea,13,9,8,30,13,11,8,32,9,3,9,21,9,12,9,30
Germany,11,20,13,44,16,11,14,41,17,10,15,42,13,16,20,49
France,11,11,13,35,7,16,20,43,10,18,14,42,11,9,13,33
Australia,8,15,12,35,14,15,17,46,8,11,10,29,17,16,17,50
Italy,8,9,11,28,8,9,10,27,8,12,8,28,10,11,11,32
Hungary,8,4,6,18,3,5,2,10,8,3,4,15,8,6,3,17
Japan,7,14,17,38,9,8,8,25,12,8,21,41,16,9,12,37
Iran,7,5,1,13,1,0,1,2,3,1,4,8,2,2,2,6
Netherlands,6,6,8,20,7,5,4,16,8,7,4,19,4,9,9,22
New Zealand,6,2,5,13,3,2,4,9,4,9,5,18,3,2,0,5
Ukraine,5,4,10,19,7,4,11,22,2,5,4,11,8,5,9,22
Cuba,5,3,7,15,3,10,17,30,5,2,4,11,9,7,11,27
Spain,4,10,6,20,5,11,3,19,7,4,6,17,3,11,6,20
Jamaica,4,5,3,12,5,4,2,11,6,3,2,11,2,1,2,5
Czech Republic,4,3,4,11,3,3,1,7,1,2,7,10,1,3,5,9
South Africa,4,1,1,6,0,1,0,1,2,6,2,10,1,3,2,6
North Korea,4,0,3,7,2,2,2,6,2,3,2,7,0,4,1,5
Brazil,3,5,9,17,3,4,10,17,7,6,6,19,5,2,3,10
Kazakhstan,3,2,6,11,2,3,4,9,2,5,10,17,1,4,3,8
Poland,3,2,6,11,4,5,2,11,2,3,6,11,3,2,5,10
Ethiopia,3,2,3,8,4,2,1,7,1,2,5,8,2,3,2,7
Croatia,3,1,2,6,0,2,3,5,5,3,2,10,1,2,2,5
Canada,2,6,10,18,3,9,8,20,4,3,15,22,3,6,3,12
Belarus,2,5,3,10,3,4,7,14,1,4,4,9,2,5,6,13
Kenya,2,4,7,13,6,4,6,16,6,6,1,13,1,4,2,7
Denmark,2,4,3,9,2,2,3,7,2,6,7,15,2,1,5,8
Romania,2,4,1,7,4,1,4,9,1,1,2,4,8,5,6,19
Azerbaijan,2,2,5,9,1,1,4,6,1,7,10,18,1,0,4,5
Switzerland,2,2,0,4,2,1,4,7,3,2,2,7,1,1,3,5
Norway,2,1,1,4,3,5,1,9,0,0,4,4,5,0,1,6
Lithuania,2,0,3,5,0,3,2,5,0,1,3,4,1,2,0,3
Sweden,1,4,3,8,0,4,1,5,2,6,3,11,4,2,1,7
Colombia,1,3,5,9,0,2,1,3,3,2,3,8,0,0,2,2
Mexico,1,3,4,8,2,0,2,4,0,3,2,5,0,3,1,4
Georgia,1,2,3,6,3,2,2,7,2,1,4,7,2,2,0,4
Argentina,1,1,2,4,2,0,4,6,3,1,0,4,2,0,4,6
Slovenia,1,1,2,4,1,2,2,5,1,2,1,4,0,1,3,4
Trinidad and Tobago,1,1,2,4,1,1,0,2,0,0,1,1,0,0,1,1
Turkey,1,1,1,3,1,1,3,5,1,3,4,8,3,3,5,11
Dominican Republic,1,1,0,2,1,1,0,2,0,0,1,1,1,0,0,1
Chinese Taipei,1,0,1,2,1,1,2,4,1,0,2,3,2,2,1,5
Bahamas,1,0,0,1,0,1,1,2,1,0,1,2,1,0,1,2
Venezuela,1,0,0,1,0,0,1,1,0,2,1,3,0,0,2,2
Egypt,0,3,1,4,0,0,2,2,0,0,3,3,1,1,3,5
India,0,2,4,6,1,0,2,3,0,1,1,2,0,1,0,1
Mongolia,0,2,3,5,2,2,0,4,0,1,1,2,0,0,1,1
Thailand,0,2,2,4,2,2,2,6,2,2,2,6,3,1,4,8
Bulgaria,0,2,1,3,1,1,3,5,0,1,2,3,2,1,9,12
Finland,0,2,1,3,1,1,2,4,0,0,1,1,0,2,0,2
Indonesia,0,2,1,3,1,1,4,6,1,2,0,3,1,1,2,4
Slovakia,0,1,3,4,3,3,0,6,2,2,0,4,2,2,2,6
Belgium,0,1,2,3,2,0,0,2,2,2,2,6,1,0,2,3
Estonia,0,1,1,2,1,1,0,2,0,0,1,1,0,1,2,3
Portugal,0,1,0,1,1,1,0,2,0,0,1,1,0,2,1,3
Uzbekistan,0,0,3,3,0,1,3,4,4,2,7,13,2,1,2,5
Greece,0,0,2,2,0,2,1,3,3,1,2,6,6,6,4,16
Morocco,0,0,1,1,0,1,1,2,0,0,1,1,2,1,0,3
