Country (or dependent territory),1985,%,1990,%.1,1995,%.2,2000,%.3,2005,%.4,2010,%.5,2015,%.6
Afghanistan,13120000,-2700.0,13569000,670.0,19446000,7460.0,22462000,2930.0,26335000,3230.0,29121000,2029.9999999999998,32565000,2260.0
Albania,2957000,2050.0,3245000,1880.0,3159000,-540.0,3159000,0.0,3025000,-860.0,2987000,-250.0,3030000,280.0
Algeria,22009000,3190.0,25191000,2740.0,28322000,2370.0,30639000,1580.0,32918000,1450.0,35950000,1780.0,39543000,1920.0
American Samoa,39000,3570.0,48000,4090.0,54000,2690.0,58000,1390.0,57000,-280.0,56000,-530.0,55000,-410.0
Andorra,45000,5840.0,53000,3410.0,64000,3700.0,66000,580.0,77000,3180.0,85000,2120.0,86000,250.0
Angola,8390000,3090.0,9486000,2480.0,11000000,3010.0,12683000,2890.0,14770000,3090.0,17043000,2900.0,19626000,2860.0
Anguilla,7000,1350.0,9000,3840.0,10000,3200.0,12000,3020.0,14000,2800.0,15000,2400.0,17000,2140.0
Antigua and Barbuda,65000,-1240.0,65000,-70.0,69000,1380.0,76000,1860.0,82000,1530.0,87000,1310.0,93000,1280.0
Argentina,30672000,1570.0,33036000,1500.0,35274000,1320.0,37336000,1140.0,39182000,970.0,41344000,1080.0,43432000,990.0
Armenia,3465000,2020.0,3530000,370.0,3131000,-2370.0,3101000,-190.0,3085000,-100.0,3072000,-80.0,3057000,-100.0
Aruba,62000,530.0,64000,490.0,80000,4870.0,90000,2390.0,97000,1510.0,105000,1520.0,113000,1410.0
Australia,15696000,1440.0,16957000,1560.0,17976000,1170.0,19054000,1170.0,20233000,1210.0,21516000,1240.0,22752000,1120.0
Austria,7560000,30.0,7723000,430.0,8048000,830.0,8114000,160.0,8315000,490.0,8448000,320.0,8666000,510.0
Azerbaijan,6846000,2000.0,7498000,1840.0,8051000,1430.0,8464000,1000.0,8826000,840.0,9302000,1060.0,9781000,1010.0
Bahamas,229000,1700.0,246000,1440.0,266000,1590.0,283000,1280.0,297000,980.0,311000,910.0,325000,900.0
Bahrain,424000,4019.9999999999995,506000,3620.0,583000,2850.0,655000,2380.0,916000,6940.0,1181000,5200.0,1347000,2680.0
Bangladesh,102309000,3070.0,112213000,1870.0,121443000,1590.0,132151000,1700.0,144139000,1750.0,156119000,1610.0,168958000,1590.0
