NOC,Gold-2012,Silver-2012,Bronze-2012,Total-2012,Weighted-2012,Gold-2008,Silver-2008,Bronze-2008,Total-2008,Weighted-2008,Gold-2016,Silver-2016,Bronze-2016,Total-2016,Weighted-2016,Gold-2004,Silver-2004,Bronze-2004,Total-2004,Weighted-2004
United States,47.0,27.0,30.0,104.0,225.0,36.0,39.0,37.0,112.0,223.0,46.0,37.0,38.0,121.0,250.0,36.0,39.0,26.0,101.0,212.0
China,38.0,31.0,22.0,91.0,198.0,48.0,22.0,30.0,100.0,218.0,26.0,18.0,26.0,70.0,140.0,32.0,17.0,14.0,63.0,144.0
Great Britain,29.0,18.0,18.0,65.0,141.0,19.0,13.0,19.0,51.0,102.0,27.0,23.0,17.0,67.0,144.0,9.0,9.0,12.0,30.0,57.0
Russia,19.0,21.0,27.0,67.0,126.0,24.0,13.0,23.0,60.0,121.0,19.0,17.0,20.0,56.0,111.0,28.0,26.0,36.0,90.0,172.0
South Korea,13.0,9.0,8.0,30.0,65.0,13.0,11.0,8.0,32.0,69.0,9.0,3.0,9.0,21.0,42.0,9.0,12.0,9.0,30.0,60.0
Germany,11.0,20.0,13.0,44.0,86.0,16.0,11.0,14.0,41.0,84.0,17.0,10.0,15.0,42.0,86.0,13.0,16.0,20.0,49.0,91.0
France,11.0,11.0,13.0,35.0,68.0,7.0,16.0,20.0,43.0,73.0,10.0,18.0,14.0,42.0,80.0,11.0,9.0,13.0,33.0,64.0
Australia,8.0,15.0,12.0,35.0,66.0,14.0,15.0,17.0,46.0,89.0,8.0,11.0,10.0,29.0,56.0,17.0,16.0,17.0,50.0,100.0
Italy,8.0,9.0,11.0,28.0,53.0,8.0,9.0,10.0,27.0,52.0,8.0,12.0,8.0,28.0,56.0,10.0,11.0,11.0,32.0,63.0
Hungary,8.0,4.0,6.0,18.0,38.0,3.0,5.0,2.0,10.0,21.0,8.0,3.0,4.0,15.0,34.0,8.0,6.0,3.0,17.0,39.0
Japan,7.0,14.0,17.0,38.0,66.0,9.0,8.0,8.0,25.0,51.0,12.0,8.0,21.0,41.0,73.0,16.0,9.0,12.0,37.0,78.0
Iran,7.0,5.0,1.0,13.0,32.0,1.0,0.0,1.0,2.0,4.0,3.0,1.0,4.0,8.0,15.0,2.0,2.0,2.0,6.0,12.0
Netherlands,6.0,6.0,8.0,20.0,38.0,7.0,5.0,4.0,16.0,35.0,8.0,7.0,4.0,19.0,42.0,4.0,9.0,9.0,22.0,39.0
New Zealand,6.0,2.0,5.0,13.0,27.0,3.0,2.0,4.0,9.0,17.0,4.0,9.0,5.0,18.0,35.0,3.0,2.0,0.0,5.0,13.0
Ukraine,5.0,4.0,10.0,19.0,33.0,7.0,4.0,11.0,22.0,40.0,2.0,5.0,4.0,11.0,20.0,8.0,5.0,9.0,22.0,43.0
