Country,Gold-2012,Silver-2012,Bronze-2012,Total-2012,Weighted-2012,Gold-2008,Silver-2008,Bronze-2008,Total-2008,Weighted-2008,Gold-2016,Silver-2016,Bronze-2016,Total-2016,Weighted-2016,Gold-2004,Silver-2004,Bronze-2004,Total-2004,Weighted-2004
United States,47,27,30,104,225,36,39,37,112,223,46,37,38,121,250,36,39,26,101,212
China,38,31,22,91,198,48,22,30,100,218,26,18,26,70,140,32,17,14,63,144
Great Britain,29,18,18,65,141,19,13,19,51,102,27,23,17,67,144,9,9,12,30,57
Russia,19,21,27,67,126,24,13,23,60,121,19,17,20,56,111,28,26,36,90,172
South Korea,13,9,8,30,65,13,11,8,32,69,9,3,9,21,42,9,12,9,30,60
Germany,11,20,13,44,86,16,11,14,41,84,17,10,15,42,86,13,16,20,49,91
France,11,11,13,35,68,7,16,20,43,73,10,18,14,42,80,11,9,13,33,64
Australia,8,15,12,35,66,14,15,17,46,89,8,11,10,29,56,17,16,17,50,100
Italy,8,9,11,28,53,8,9,10,27,52,8,12,8,28,56,10,11,11,32,63
Hungary,8,4,6,18,38,3,5,2,10,21,8,3,4,15,34,8,6,3,17,39
Japan,7,14,17,38,66,9,8,8,25,51,12,8,21,41,73,16,9,12,37,78
Iran,7,5,1,13,32,1,0,1,2,4,3,1,4,8,15,2,2,2,6,12
Netherlands,6,6,8,20,38,7,5,4,16,35,8,7,4,19,42,4,9,9,22,39
New Zealand,6,2,5,13,27,3,2,4,9,17,4,9,5,18,35,3,2,0,5,13
Ukraine,5,4,10,19,33,7,4,11,22,40,2,5,4,11,20,8,5,9,22,43
Cuba,5,3,7,15,28,3,10,17,30,46,5,2,4,11,23,9,7,11,27,52
Spain,4,10,6,20,38,5,11,3,19,40,7,4,6,17,35,3,11,6,20,37
Jamaica,4,5,3,12,25,5,4,2,11,25,6,3,2,11,26,2,1,2,5,10
Czech Republic,4,3,4,11,22,3,3,1,7,16,1,2,7,10,14,1,3,5,9,14
South Africa,4,1,1,6,15,0,1,0,1,2,2,6,2,10,20,1,3,2,6,11
North Korea,4,0,3,7,15,2,2,2,6,12,2,3,2,7,14,0,4,1,5,9
Brazil,3,5,9,17,28,3,4,10,17,27,7,6,6,19,39,5,2,3,10,22
Kazakhstan,3,2,6,11,19,2,3,4,9,16,2,5,10,17,26,1,4,3,8,14
Poland,3,2,6,11,19,4,5,2,11,24,2,3,6,11,18,3,2,5,10,18
Ethiopia,3,2,3,8,16,4,2,1,7,17,1,2,5,8,12,2,3,2,7,14
Croatia,3,1,2,6,13,0,2,3,5,7,5,3,2,10,23,1,2,2,5,9
Canada,2,6,10,18,28,3,9,8,20,35,4,3,15,22,33,3,6,3,12,24
Belarus,2,5,3,10,19,3,4,7,14,24,1,4,4,9,15,2,5,6,13,22
