NOC,Gold-2012,Silver-2012,Bronze-2012,Total-2012,Gold-2008,Silver-2008,Bronze-2008,Total-2008,Gold-2016,Silver-2016,Bronze-2016,Total-2016,Gold-2004,Silver-2004,Bronze-2004,Total-2004,Country,GDP-2004,GDP-2008,GDP-2012,GDP-2016
United States,47.0,27.0,30.0,104.0,36.0,39.0,37.0,112.0,46.0,37.0,38.0,121.0,36.0,39.0,26.0,101.0,United States,41642.0,48471.0,51737.0,57840.0
China,39.0,31.0,22.0,92.0,48.0,22.0,30.0,100.0,27.0,17.0,26.0,70.0,32.0,17.0,14.0,63.0,China,4381.0,7501.0,11137.0,13432.0
Great Britain,29.0,18.0,18.0,65.0,19.0,13.0,19.0,51.0,27.0,23.0,17.0,67.0,9.0,9.0,12.0,30.0,Great Britain,31688.0,36905.0,38297.0,44121.0
Russia,19.0,21.0,27.0,67.0,24.0,13.0,23.0,60.0,19.0,17.0,20.0,56.0,28.0,26.0,36.0,90.0,Russia,14728.0,21700.0,24279.0,24104.0
South Korea,13.0,9.0,8.0,30.0,13.0,11.0,8.0,32.0,9.0,3.0,9.0,21.0,9.0,12.0,9.0,30.0,South Korea,21872.0,28550.0,33557.0,39567.0
Germany,11.0,20.0,13.0,44.0,16.0,11.0,14.0,41.0,17.0,10.0,15.0,42.0,13.0,16.0,20.0,49.0,Germany,32645.0,39835.0,43359.0,50575.0
France,11.0,11.0,13.0,35.0,7.0,16.0,20.0,43.0,10.0,18.0,14.0,42.0,11.0,9.0,13.0,33.0,France,32255.0,37416.0,39037.0,44422.0
Australia,8.0,15.0,12.0,35.0,14.0,15.0,17.0,46.0,8.0,11.0,10.0,29.0,17.0,16.0,17.0,50.0,Australia,34390.0,40527.0,42906.0,48135.0
Italy,8.0,9.0,11.0,28.0,8.0,9.0,10.0,27.0,8.0,12.0,8.0,28.0,10.0,11.0,11.0,32.0,Italy,32577.0,36514.0,36143.0,40231.0
Hungary,8.0,4.0,6.0,18.0,3.0,5.0,2.0,10.0,8.0,3.0,4.0,15.0,8.0,6.0,3.0,17.0,Hungary,18544.0,22834.0,23179.0,27863.0
Japan,7.0,14.0,17.0,38.0,9.0,8.0,8.0,25.0,12.0,8.0,21.0,41.0,16.0,9.0,12.0,37.0,Japan,30836.0,35512.0,37629.0,40641.0
Iran,7.0,5.0,1.0,13.0,1.0,0.0,1.0,2.0,3.0,1.0,4.0,8.0,2.0,2.0,2.0,6.0,Iran,13190.0,16309.0,15846.0,13855.0
Netherlands,6.0,6.0,8.0,20.0,7.0,5.0,4.0,16.0,8.0,7.0,4.0,19.0,4.0,9.0,9.0,22.0,Netherlands,37263.0,46004.0,47342.0,52441.0
New Zealand,6.0,2.0,5.0,13.0,3.0,2.0,4.0,9.0,4.0,9.0,5.0,18.0,3.0,2.0,0.0,5.0,New Zealand,26745.0,31304.0,32734.0,39266.0
Ukraine,5.0,4.0,10.0,19.0,7.0,4.0,11.0,22.0,2.0,5.0,4.0,11.0,8.0,5.0,9.0,22.0,Ukraine,6536.0,9143.0,9389.0,11216.0
Cuba,5.0,3.0,7.0,15.0,3.0,10.0,17.0,30.0,5.0,2.0,4.0,11.0,9.0,7.0,11.0,27.0,Cuba,3399.0,5386.0,6448.0,7657.0
Spain,4.0,10.0,6.0,20.0,5.0,11.0,3.0,19.0,7.0,4.0,6.0,17.0,3.0,11.0,6.0,20.0,Spain,27856.0,32590.0,31725.0,37310.0
Jamaica,4.0,5.0,3.0,12.0,5.0,4.0,2.0,11.0,6.0,3.0,2.0,11.0,2.0,1.0,2.0,5.0,Jamaica,7488.0,8581.0,8586.0,9818.0
Czech Republic,4.0,3.0,4.0,11.0,3.0,3.0,1.0,7.0,1.0,2.0,7.0,10.0,1.0,3.0,5.0,9.0,Czech Republic,21045.0,28482.0,29270.0,36137.0
South Africa,4.0,1.0,1.0,6.0,0.0,1.0,0.0,1.0,2.0,6.0,2.0,10.0,1.0,3.0,2.0,6.0,South Africa,10058.0,12854.0,13191.0,13738.0
North Korea,4.0,0.0,3.0,7.0,2.0,2.0,2.0,6.0,2.0,3.0,2.0,7.0,0.0,4.0,1.0,5.0,North Korea,473.0,551.0,643.0,642.0
Brazil,3.0,5.0,9.0,17.0,3.0,4.0,10.0,17.0,7.0,6.0,6.0,19.0,5.0,2.0,3.0,10.0,Brazil,10514.0,13397.0,15120.0,14326.0
Kazakhstan,3.0,2.0,6.0,11.0,2.0,3.0,4.0,9.0,2.0,5.0,10.0,17.0,1.0,4.0,3.0,8.0,Kazakhstan,12381.0,17754.0,21878.0,23654.0
