NOC,Gold-2012,Silver-2012,Bronze-2012,Total-2012,Gold-2008,Silver-2008,Bronze-2008,Total-2008,Gold-2016,Silver-2016,Bronze-2016,Total-2016,Gold-2004,Silver-2004,Bronze-2004,Total-2004,GDP-2004,GDP-2008,GDP-2012,GDP-2016,pop-2004,pop-2008,pop-2012,pop-2016
United States,47.0,27.0,30.0,104.0,36.0,39.0,37.0,112.0,46.0,37.0,38.0,121.0,36.0,39.0,26.0,101.0,41642.0,48471.0,51737,57840,295517,309348,309348,321369
China,38.0,31.0,22.0,91.0,48.0,22.0,30.0,100.0,26.0,18.0,26.0,70.0,32.0,17.0,14.0,63.0,4381.0,7501.0,11137,13432,1302285,1336681,1336681,1367486
Great Britain,29.0,18.0,18.0,65.0,19.0,13.0,19.0,51.0,27.0,23.0,17.0,67.0,9.0,9.0,12.0,30.0,31688.0,36905.0,38297,44121,60488,62349,62349,64089
Russia,19.0,21.0,27.0,67.0,24.0,13.0,23.0,60.0,19.0,17.0,20.0,56.0,28.0,26.0,36.0,90.0,14728.0,21700.0,24279,24104,143320,142527,142527,142424
South Korea,13.0,9.0,8.0,30.0,13.0,11.0,8.0,32.0,9.0,3.0,9.0,21.0,9.0,12.0,9.0,30.0,21872.0,28550.0,33557,39567,48006,48637,48637,49116
Germany,11.0,20.0,13.0,44.0,16.0,11.0,14.0,41.0,17.0,10.0,15.0,42.0,13.0,16.0,20.0,49.0,32645.0,39835.0,43359,50575,82440,81645,81645,80855
France,11.0,11.0,13.0,35.0,7.0,16.0,20.0,43.0,10.0,18.0,14.0,42.0,11.0,9.0,13.0,33.0,32255.0,37416.0,39037,44422,63060,64941,64941,66554
Australia,8.0,15.0,12.0,35.0,14.0,15.0,17.0,46.0,8.0,11.0,10.0,29.0,17.0,16.0,17.0,50.0,34390.0,40527.0,42906,48135,20233,21516,21516,22752
Italy,8.0,9.0,11.0,28.0,8.0,9.0,10.0,27.0,8.0,12.0,8.0,28.0,10.0,11.0,11.0,32.0,32577.0,36514.0,36143,40231,59038,60749,60749,61856
Hungary,8.0,4.0,6.0,18.0,3.0,5.0,2.0,10.0,8.0,3.0,4.0,15.0,8.0,6.0,3.0,17.0,18544.0,22834.0,23179,27863,10058,9993,9993,9898
Japan,7.0,14.0,17.0,38.0,9.0,8.0,8.0,25.0,12.0,8.0,21.0,41.0,16.0,9.0,12.0,37.0,30836.0,35512.0,37629,40641,127716,127580,127580,126920
Iran,7.0,5.0,1.0,13.0,1.0,0.0,1.0,2.0,3.0,1.0,4.0,8.0,2.0,2.0,2.0,6.0,13190.0,16309.0,15846,13855,72283,76924,76924,81825
Netherlands,6.0,6.0,8.0,20.0,7.0,5.0,4.0,16.0,8.0,7.0,4.0,19.0,4.0,9.0,9.0,22.0,37263.0,46004.0,47342,52441,16300,16574,16574,16948
New Zealand,6.0,2.0,5.0,13.0,3.0,2.0,4.0,9.0,4.0,9.0,5.0,18.0,3.0,2.0,0.0,5.0,26745.0,31304.0,32734,39266,4049,4253,4253,4439
Ukraine,5.0,4.0,10.0,19.0,7.0,4.0,11.0,22.0,2.0,5.0,4.0,11.0,8.0,5.0,9.0,22.0,6536.0,9143.0,9389,11216,47003,45769,45769,44430
Cuba,5.0,3.0,7.0,15.0,3.0,10.0,17.0,30.0,5.0,2.0,4.0,11.0,9.0,7.0,11.0,27.0,3399.0,5386.0,6448,7657,11199,11099,11099,11032
Spain,4.0,10.0,6.0,20.0,5.0,11.0,3.0,19.0,7.0,4.0,6.0,17.0,3.0,11.0,6.0,20.0,27856.0,32590.0,31725,37310,43705,46506,46506,48147
Jamaica,4.0,5.0,3.0,12.0,5.0,4.0,2.0,11.0,6.0,3.0,2.0,11.0,2.0,1.0,2.0,5.0,7488.0,8581.0,8586,9818,2737,2848,2848,2951
Czech Republic,4.0,3.0,4.0,11.0,3.0,3.0,1.0,7.0,1.0,2.0,7.0,10.0,1.0,3.0,5.0,9.0,21045.0,28482.0,29270,36137,10267,10551,10551,10645
South Africa,4.0,1.0,1.0,6.0,0.0,1.0,0.0,1.0,2.0,6.0,2.0,10.0,1.0,3.0,2.0,6.0,10058.0,12854.0,13191,13738,48105,51123,51123,53676
North Korea,4.0,0.0,3.0,7.0,2.0,2.0,2.0,6.0,2.0,3.0,2.0,7.0,0.0,4.0,1.0,5.0,473.0,551.0,643,642,23621,24326,24326,24984
Brazil,3.0,5.0,9.0,17.0,3.0,4.0,10.0,17.0,7.0,6.0,6.0,19.0,5.0,2.0,3.0,10.0,10514.0,13397.0,15120,14326,186021,195835,195835,204260
