Country (or dependent territory),1985,%,1990,%.1,1995,%.2,2000,%.3,2005,%.4,2010,%.5,2015,%.6
Afghanistan,13120,-2.7,13569,0.67,19446,7.46,22462,2.93,26335,3.23,29121,2.03,32565,2.26
Albania,2957,2.05,3245,1.88,3159,-0.54,3159,0.0,3025,-0.86,2987,-0.25,3030,0.28
Algeria,22009,3.19,25191,2.74,28322,2.37,30639,1.58,32918,1.45,35950,1.78,39543,1.92
American Samoa,39,3.57,48,4.09,54,2.69,58,1.39,57,-0.28,56,-0.53,55,-0.41
Andorra,45,5.84,53,3.41,64,3.7,66,0.58,77,3.18,85,2.12,86,0.25
Angola,8390,3.09,9486,2.48,11000,3.01,12683,2.89,14770,3.09,17043,2.9,19626,2.86
Anguilla,7,1.35,9,3.84,10,3.2,12,3.02,14,2.8,15,2.4,17,2.14
Antigua and Barbuda,65,-1.24,65,-0.07,69,1.38,76,1.86,82,1.53,87,1.31,93,1.28
Argentina,30672,1.57,33036,1.5,35274,1.32,37336,1.14,39182,0.97,41344,1.08,43432,0.99
Armenia,3465,2.02,3530,0.37,3131,-2.37,3101,-0.19,3085,-0.1,3072,-0.08,3057,-0.1
Aruba,62,0.53,64,0.49,80,4.87,90,2.39,97,1.51,105,1.52,113,1.41
Australia,15696,1.44,16957,1.56,17976,1.17,19054,1.17,20233,1.21,21516,1.24,22752,1.12
Austria,7560,0.03,7723,0.43,8048,0.83,8114,0.16,8315,0.49,8448,0.32,8666,0.51
Azerbaijan,6846,2.0,7498,1.84,8051,1.43,8464,1.0,8826,0.84,9302,1.06,9781,1.01
Bahamas,229,1.7,246,1.44,266,1.59,283,1.28,297,0.98,311,0.91,325,0.9
Bahrain,424,4.02,506,3.62,583,2.85,655,2.38,916,6.94,1181,5.2,1347,2.68
Bangladesh,102309,3.07,112213,1.87,121443,1.59,132151,1.7,144139,1.75,156119,1.61,168958,1.59
Barbados,258,0.42,263,0.39,268,0.41,274,0.45,281,0.46,286,0.4,291,0.34
Belarus,9982,0.69,10201,0.43,10205,0.01,10034,-0.34,9807,-0.46,9681,-0.26,9590,-0.19
Belgium,9859,0.02,9970,0.22,10156,0.37,10264,0.21,10470,0.4,10866,0.75,11324,0.83
Belize,166,2.77,191,2.89,218,2.62,249,2.69,282,2.55,315,2.26,348,2.01
Benin,4031,3.11,4706,3.15,5647,3.71,6620,3.23,7778,3.28,9057,3.09,10449,2.9
Bermuda,57,0.53,58,0.56,61,0.86,64,0.9,66,0.89,69,0.7,71,0.56
Bhutan,530,3.48,615,3.04,567,-1.63,606,1.36,655,1.57,700,1.34,742,1.17
Bolivia,5935,1.75,6574,2.07,7375,2.33,8196,2.13,9073,2.06,9948,1.86,10801,1.66
Bosnia and Herzegovina,4227,0.65,4315,0.41,3547,-3.85,3806,1.42,3894,0.46,3885,-0.04,3868,-0.09
Botswana,1080,3.7,1265,3.21,1478,3.16,1680,2.6,1841,1.84,2030,1.98,2183,1.47
Brazil,135734,2.31,149410,1.94,161912,1.62,174316,1.49,186021,1.31,195835,1.03,204260,0.85
British Virgin Islands,14,3.69,16,3.54,20,3.97,23,3.38,26,2.82,30,2.76,34,2.45
Brunei,218,3.3,253,3.03,288,2.63,326,2.47,362,2.11,396,1.81,430,1.69
Bulgaria,8944,0.23,8895,-0.11,8285,-1.41,7909,-0.92,7612,-0.76,7392,-0.58,7187,-0.56
Burkina Faso,7171,2.56,8362,3.12,9903,3.44,11588,3.19,13904,3.71,16242,3.16,18932,3.11
Burundi,4915,2.72,5509,2.31,5800,1.03,6716,2.98,7789,3.01,9121,3.21,10743,3.33
Cambodia,7842,2.62,9368,3.62,11235,3.7,12352,1.91,13298,1.49,14454,1.68,15709,1.68
